Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
CIFAR10,SGD,0.7693,444.6025986671448,0.6688611469686488,1.0
CIFAR10,Adam,0.7315,448.03188014030457,0.8064606959557594,0.7615176010654017
CIFAR10,RMSProp,0.7333,511.0044136047363,0.8067607755398811,0.7337192011520983
CIFAR10,SISA,0.6465,876.1553010940552,1.067275056869361,0.0
