Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
MNIST,SGD,0.9835,336.8698811531067,0.05773521180556063,0.8748277013389226
MNIST,Adam,0.9866,375.8423125743866,0.050066705864877985,0.9751914885955202
MNIST,RMSProp,0.983,340.78860569000244,0.059307524037839315,0.8515996916167079
MNIST,SISA,0.9701,729.6023468971252,0.14249527107805332,0.0
