Dataset,Algorithm,Remaining_Accuracy,Deleted_Accuracy,Unlearning_Time,Score
cifar10,Retraining,67.24,0.0,1668.325763463974,0.7420547945205479
cifar10,FineTuning,68.4,0.021,331.145352602005,0.6021432036703884
cifar10,Influence,10.0,0.0,14.571906566619873,0.6
cifar10,SISA,68.38,0.0044,303.4706189632416,0.8828565074817227
