Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
CIFAR100,SGD,0.4412,390.1342489719391,2.1783560275116844,0.9994262483166845
CIFAR100,Adam,0.4129,385.5812339782715,2.2916135066915353,0.8736242044340259
CIFAR100,RMSProp,0.4036,512.599015712738,2.366038121225889,0.8088360009519715
CIFAR100,SISA,0.2784,2369.459942340851,2.947906223224227,0.0
